#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Publication Source	Organism ID Interactor A	Organism ID Interactor B	Throughput	Score	Modification	Qualifications	Tags	Source Database	SWISS-PROT Accessions Interactor A	TREMBL Accessions Interactor A	REFSEQ Accessions Interactor A	SWISS-PROT Accessions Interactor B	TREMBL Accessions Interactor B	REFSEQ Accessions Interactor B	Ontology Term IDs	Ontology Term Names	Ontology Term Categories	Ontology Term Qualifier IDs	Ontology Term Qualifier Names	Ontology Term Types	Organism Name Interactor A	Organism Name Interactor B
263839	852495	948461	32893	852757	YBR196C	b3962	PGI1	sthA	CDC30|glucose-6-phosphate isomerase|L000001410|L000001409	ECK3954|JW5551|sth|udhA	Synthetic Rescue	genetic	Heux S (2008)	PUBMED:18036177	559292	511145	Low Throughput	-	-	Expression of the E. coli transhydrogenase Udha/sthA can partially restore the growth of the ENYpgi1 yeast mutant on glucose.|S. cerevisiae does not have a functional ortholog of the E. coli transhydrogenase UdhA/sthA.  This was not a cross-species complementation experiment.	-	BIOGRID	P12709	-	NP_009755	P27306	-	NP_418397	APO:0000094	metabolism and growth	phenotype	-	-	partial rescue	Saccharomyces cerevisiae (S288c)	Escherichia coli (K12/MG1655)
354338	947364	2541402	851687	277911	b3187	SPBPJ4664.01	ispB	dps1	ECK3176|JW3154|cel|yhbD	SPBPJ694.01|dps	Reconstituted Complex	physical	Cui TZ (2010)	PUBMED:20051244	511145	284812	Low Throughput	-	-	-	-	BIOGRID	P0AD57	-	NP_417654	O43091	-	NP_595276	-	-	-	-	-	-	Escherichia coli (K12/MG1655)	Schizosaccharomyces pombe (972h)
354339	947364	2542608	851687	279062	b3187	SPAC19G12.12	ispB	dlp1	ECK3176|JW3154|cel|yhbD	coq1	Reconstituted Complex	physical	Cui TZ (2010)	PUBMED:20051244	511145	284812	Low Throughput	-	-	-	-	BIOGRID	P0AD57	-	NP_417654	O13851	-	NP_594427	-	-	-	-	-	-	Escherichia coli (K12/MG1655)	Schizosaccharomyces pombe (972h)
452570	856291	944750	36335	849153	YPR162C	b0014	ORC4	dnaK	origin recognition complex subunit 4|L000003075	ECK0014|JW0013|groPAB|groPC|groPF|grpC|grpF|seg	Affinity Capture-MS	physical	Alamo MM (2010)	PUBMED:20732327	559292	511145	Low Throughput	-	-	-	-	BIOGRID	P54791	-	NP_015488	P0A6Y8	-	NP_414555	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Escherichia coli (K12/MG1655)
452572	856291	944750	36335	849153	YPR162C	b0014	ORC4	dnaK	origin recognition complex subunit 4|L000003075	ECK0014|JW0013|groPAB|groPC|groPF|grpC|grpF|seg	Reconstituted Complex	physical	Alamo MM (2010)	PUBMED:20732327	559292	511145	Low Throughput	-	-	-	-	BIOGRID	P54791	-	NP_015488	P0A6Y8	-	NP_414555	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Escherichia coli (K12/MG1655)
452575	852352	944750	32764	849153	YBR060C	b0014	ORC2	dnaK	RRR1|SIR5|origin recognition complex subunit 2|L000001776	ECK0014|JW0013|groPAB|groPC|groPF|grpC|grpF|seg	Affinity Capture-Western	physical	Alamo MM (2010)	PUBMED:20732327	559292	511145	Low Throughput	-	-	-	-	BIOGRID	P32833	-	NP_009616	P0A6Y8	-	NP_414555	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Escherichia coli (K12/MG1655)
482974	853941	948543	34198	852837	YKR067W	b4042	GPT2	dgkA	GAT1|bifunctional glycerol-3-phosphate/glycerone-phosphate O-acyltransferase GPT2	ECK4034|JW4002	Dosage Rescue	genetic	Zaremberg V (2002)	PUBMED:12167660	559292	511145	Low Throughput	-	-	ectopic expression of E. coli dag kinase improves growth of a gat1 or gat2 mutant in the presence of lipids	-	BIOGRID	P36148	-	NP_012993	P0ABN1	-	NP_418466	APO:0000106	vegetative growth	phenotype	-	-	partial rescue	Saccharomyces cerevisiae (S288c)	Escherichia coli (K12/MG1655)
482975	852271	948543	32688	852837	YBL011W	b4042	SCT1	dgkA	GAT2|bifunctional glycerol-3-phosphate/glycerone-phosphate O-acyltransferase SCT1|L000001820	ECK4034|JW4002	Dosage Rescue	genetic	Zaremberg V (2002)	PUBMED:12167660	559292	511145	Low Throughput	-	-	ectopic expression of E. coli dag kinase improves growth of a gat1 or gat2 mutant in the presence of lipids	-	BIOGRID	P32784	-	NP_009542	P0ABN1	-	NP_418466	APO:0000106	vegetative growth	phenotype	-	-	partial rescue	Saccharomyces cerevisiae (S288c)	Escherichia coli (K12/MG1655)
553677	851539	948937	32033	853206	YDL022W	b2705	GPD1	srlD	DAR1|HOR1|OSG1|OSR5|glycerol-3-phosphate dehydrogenase (NAD(+)) GPD1|L000000722	ECK2700|JW2674|gutD	Dosage Rescue	genetic	Jain VK (2011)	PUBMED:21720823	559292	511145	Low Throughput	-	-	Overexpression of Sor1 partially rescues growth of a gpd1/gpd2 double mutant on 10% sugar media under aerobic and anaerobic conditions|genetic complex	-	BIOGRID	Q00055	-	NP_010262	P05707	-	NP_417185	APO:0000106|APO:0000307	vegetative growth|anaerobic growth	phenotype|phenotype	-|-	-|-	partial rescue|partial rescue	Saccharomyces cerevisiae (S288c)	Escherichia coli (K12/MG1655)
553678	854095	948937	34342	853206	YOL059W	b2705	GPD2	srlD	GPD3|glycerol-3-phosphate dehydrogenase (NAD(+)) GPD2|L000000723|L000003160	ECK2700|JW2674|gutD	Dosage Rescue	genetic	Jain VK (2011)	PUBMED:21720823	559292	511145	Low Throughput	-	-	Overexpression of Sor1 partially rescues growth of a gpd1/gpd2 double mutant on 10% sugar media under aerobic and anaerobic conditions|genetic complex	-	BIOGRID	P41911	-	NP_014582	P05707	-	NP_417185	APO:0000106|APO:0000307	vegetative growth|anaerobic growth	phenotype|phenotype	-|-	-|-	partial rescue|partial rescue	Saccharomyces cerevisiae (S288c)	Escherichia coli (K12/MG1655)
553679	851539	948440	32033	852737	YDL022W	b3945	GPD1	gldA	DAR1|HOR1|OSG1|OSR5|glycerol-3-phosphate dehydrogenase (NAD(+)) GPD1|L000000722	ECK3937|JW5556	Dosage Rescue	genetic	Jain VK (2011)	PUBMED:21720823	559292	511145	Low Throughput	-	-	Expression of E. coli gldA, mgsA and S. cerevisiae GRE3 partially rescues the growth of a gpd1/gpd2 mutant on 10% sugar media under aerobic conditions|genetic complex	-	BIOGRID	Q00055	-	NP_010262	P0A9S5	-	NP_418380	APO:0000106	vegetative growth	phenotype	-	-	partial rescue	Saccharomyces cerevisiae (S288c)	Escherichia coli (K12/MG1655)
553680	854095	945574	34342	849948	YOL059W	b0963	GPD2	mgsA	GPD3|glycerol-3-phosphate dehydrogenase (NAD(+)) GPD2|L000000723|L000003160	ECK0954|JW5129|mgs|yccG	Dosage Rescue	genetic	Jain VK (2011)	PUBMED:21720823	559292	511145	Low Throughput	-	-	Expression of E. coli gldA, mgsA and S. cerevisiae GRE3 partially rescues the growth of a gpd1/gpd2 mutant on 10% sugar media under aerobic conditions|genetic complex	-	BIOGRID	P41911	-	NP_014582	P0A731	-	NP_415483	APO:0000106	vegetative growth	phenotype	-	-	partial rescue	Saccharomyces cerevisiae (S288c)	Escherichia coli (K12/MG1655)
616365	947429	948695	851750	852987	b2954	b4177	rdgB	purA	ECK2949|JW2921|yggV	ECK4173|JW4135	Phenotypic Enhancement	genetic	Pang B (2012)	PUBMED:22308425	511145	511145	Low Throughput	-	-	increase in amount of DNA and RNA deamination	-	BIOGRID	P52061	-	NP_417429	P0A7D4	-	NP_418598	-	-	-	-	-	-	Escherichia coli (K12/MG1655)	Escherichia coli (K12/MG1655)
616366	946985	947429	851324	851750	b2508	b2954	guaB	rdgB	ECK2504|JW5401|guaR	ECK2949|JW2921|yggV	Phenotypic Enhancement	genetic	Pang B (2012)	PUBMED:22308425	511145	511145	Low Throughput	-	-	increase in amount of DNA and RNA deamination	-	BIOGRID	P0ADG7	-	NP_417003	P52061	-	NP_417429	-	-	-	-	-	-	Escherichia coli (K12/MG1655)	Escherichia coli (K12/MG1655)
661937	948443	945764	852740	850131	b0881	b0882	clpS	clpA	ECK0872|JW0865|yljA	ECK0873|JW0866|lopD	Co-crystal Structure	physical	Erbse A (2006)	PUBMED:16467841	511145	511145	Low Throughput	-	-	figure 4b. Clps serves as a adopter for Clpa-dependent degradation of substrates.	-	BIOGRID	P0A8Q6	-	NP_415402	P0ABH9	-	NP_415403	-	-	-	-	-	-	Escherichia coli (K12/MG1655)	Escherichia coli (K12/MG1655)
661968	947077	944750	851414	849153	b2592	b0014	clpB	dnaK	ECK2590|JW2573|htpM	ECK0014|JW0013|groPAB|groPC|groPF|grpC|grpF|seg	Biochemical Activity	physical	Miot M (2011)	PUBMED:21474779	511145	511145	Low Throughput	-	No Modification	figure 3C,D. M-domain of ClpB provides specificity for the Dnak chaperone system to reactivate aggregated proteins.	-	BIOGRID	P63284	-	NP_417083	P0A6Y8	-	NP_414555	-	-	-	-	-	-	Escherichia coli (K12/MG1655)	Escherichia coli (K12/MG1655)
661969	947077	944750	851414	849153	b2592	b0014	clpB	dnaK	ECK2590|JW2573|htpM	ECK0014|JW0013|groPAB|groPC|groPF|grpC|grpF|seg	Two-hybrid	physical	Miot M (2011)	PUBMED:21474779	511145	511145	Low Throughput	-	-	figure 4.Bacteria two-hybrid system.	-	BIOGRID	P63284	-	NP_417083	P0A6Y8	-	NP_414555	-	-	-	-	-	-	Escherichia coli (K12/MG1655)	Escherichia coli (K12/MG1655)
668572	947077	944750	851414	849153	b2592	b0014	clpB	dnaK	ECK2590|JW2573|htpM	ECK0014|JW0013|groPAB|groPC|groPF|grpC|grpF|seg	Phenotypic Enhancement	genetic	Reidy M (2012)	PUBMED:22732191	511145	511145	Low Throughput	-	-	ClpB supports [PSI+] propagation if DnaK and GrpE are co-expressed|genetic complex	-	BIOGRID	P63284	-	NP_417083	P0A6Y8	-	NP_414555	APO:0000274	prion state	phenotype	-	-	-	Escherichia coli (K12/MG1655)	Escherichia coli (K12/MG1655)
668573	947077	947097	851414	851433	b2592	b2614	clpB	grpE	ECK2590|JW2573|htpM	ECK2610|JW2594	Phenotypic Enhancement	genetic	Reidy M (2012)	PUBMED:22732191	511145	511145	Low Throughput	-	-	ClpB supports [PSI+] propagation if DnaK and GrpE are co-expressed|genetic complex	-	BIOGRID	P63284	-	NP_417083	P09372	-	NP_417104	APO:0000274	prion state	phenotype	-	-	-	Escherichia coli (K12/MG1655)	Escherichia coli (K12/MG1655)
672071	945583	947086	849957	851422	b2617	b2595	bamE	bamD	ECK2613|JW2598|smpA|smqA	ECK2593|JW2577|ecfD|yfiO	Reconstituted Complex	physical	Albrecht R (2011)	PUBMED:21586578	511145	511145	Low Throughput	-	-	-	-	BIOGRID	P0A937	-	NP_417107	P0AC02	-	NP_417086	-	-	-	-	-	-	Escherichia coli (K12/MG1655)	Escherichia coli (K12/MG1655)
734713	945066	947794	849455	852106	b0424	b3295	yajL	rpoA	ECK0418|JW5057|thiJ	ECK3282|JW3257|pez|phs|sez	Affinity Capture-MS	physical	Le HT (2012)	PUBMED:22157000	511145	511145	Low Throughput	-	-	figure 4.	-	BIOGRID	Q46948	-	NP_414958	P0A7Z4	-	NP_417754	-	-	-	-	-	-	Escherichia coli (K12/MG1655)	Escherichia coli (K12/MG1655)
734714	945066	948488	849455	852782	b0424	b3987	yajL	rpoB	ECK0418|JW5057|thiJ	ECK3978|JW3950|ftsR|groN|mbrD?|nitB|rif|ron|sdgB|stl|stv|tabD|tabG	Affinity Capture-MS	physical	Le HT (2012)	PUBMED:22157000	511145	511145	Low Throughput	-	-	figure 4.	-	BIOGRID	Q46948	-	NP_414958	P0A8V2	-	NP_418414	-	-	-	-	-	-	Escherichia coli (K12/MG1655)	Escherichia coli (K12/MG1655)
734715	945066	944750	849455	849153	b0424	b0014	yajL	dnaK	ECK0418|JW5057|thiJ	ECK0014|JW0013|groPAB|groPC|groPF|grpC|grpF|seg	Affinity Capture-MS	physical	Le HT (2012)	PUBMED:22157000	511145	511145	Low Throughput	-	-	figure 4.	-	BIOGRID	Q46948	-	NP_414958	P0A6Y8	-	NP_414555	-	-	-	-	-	-	Escherichia coli (K12/MG1655)	Escherichia coli (K12/MG1655)
734716	945066	944753	849455	849156	b0424	b0015	yajL	dnaJ	ECK0418|JW5057|thiJ	ECK0015|JW0014|faa|groP|grpC	Affinity Capture-MS	physical	Le HT (2012)	PUBMED:22157000	511145	511145	Low Throughput	-	-	figure 4.	-	BIOGRID	Q46948	-	NP_414958	P08622	-	NP_414556	-	-	-	-	-	-	Escherichia coli (K12/MG1655)	Escherichia coli (K12/MG1655)
734717	945066	948665	849455	852957	b0424	b4143	yajL	groL	ECK0418|JW5057|thiJ	ECK4137|JW4103|groEL|mopA	Affinity Capture-MS	physical	Le HT (2012)	PUBMED:22157000	511145	511145	Low Throughput	-	-	figure 4.	-	BIOGRID	Q46948	-	NP_414958	P0A6F5	-	NP_418567	-	-	-	-	-	-	Escherichia coli (K12/MG1655)	Escherichia coli (K12/MG1655)
734718	945066	947077	849455	851414	b0424	b2592	yajL	clpB	ECK0418|JW5057|thiJ	ECK2590|JW2573|htpM	Affinity Capture-MS	physical	Le HT (2012)	PUBMED:22157000	511145	511145	Low Throughput	-	-	figure 4.	-	BIOGRID	Q46948	-	NP_414958	P63284	-	NP_417083	-	-	-	-	-	-	Escherichia coli (K12/MG1655)	Escherichia coli (K12/MG1655)
734719	945066	947253	849455	851583	b0424	b0932	yajL	pepN	ECK0418|JW5057|thiJ	ECK0923|JW0915	Affinity Capture-MS	physical	Le HT (2012)	PUBMED:22157000	511145	511145	Low Throughput	-	-	figure 4.	-	BIOGRID	Q46948	-	NP_414958	P04825	-	NP_415452	-	-	-	-	-	-	Escherichia coli (K12/MG1655)	Escherichia coli (K12/MG1655)
734720	945066	944821	849455	849222	b0424	b0098	yajL	secA	ECK0418|JW5057|thiJ	ECK0099|JW0096|azi|pea|prlD	Affinity Capture-MS	physical	Le HT (2012)	PUBMED:22157000	511145	511145	Low Throughput	-	-	figure 4.	-	BIOGRID	Q46948	-	NP_414958	P10408	-	NP_414640	-	-	-	-	-	-	Escherichia coli (K12/MG1655)	Escherichia coli (K12/MG1655)
734721	945066	946234	849455	850594	b0424	b1732	yajL	katE	ECK0418|JW5057|thiJ	ECK1730|JW1721	Affinity Capture-MS	physical	Le HT (2012)	PUBMED:22157000	511145	511145	Low Throughput	-	-	figure 4.	-	BIOGRID	Q46948	-	NP_414958	P21179	-	YP_025308	-	-	-	-	-	-	Escherichia coli (K12/MG1655)	Escherichia coli (K12/MG1655)
734722	945066	945225	849455	849610	b0424	b0605	yajL	ahpC	ECK0418|JW5057|thiJ	ECK0599|JW0598|tpx	Affinity Capture-MS	physical	Le HT (2012)	PUBMED:22157000	511145	511145	Low Throughput	-	-	figure 4.	-	BIOGRID	Q46948	-	NP_414958	P0AE08	-	NP_415138	-	-	-	-	-	-	Escherichia coli (K12/MG1655)	Escherichia coli (K12/MG1655)
734723	945066	946949	849455	851288	b0424	b2480	yajL	bcp	ECK0418|JW5057|thiJ	ECK2476|JW2465	Affinity Capture-MS	physical	Le HT (2012)	PUBMED:22157000	511145	511145	Low Throughput	-	-	figure 4.	-	BIOGRID	Q46948	-	NP_414958	P0AE52	-	NP_416975	-	-	-	-	-	-	Escherichia coli (K12/MG1655)	Escherichia coli (K12/MG1655)
734724	945066	947175	849455	851507	b0424	b2697	yajL	alaS	ECK0418|JW5057|thiJ	ECK2692|JW2667|act|ala-act|lovB	Affinity Capture-MS	physical	Le HT (2012)	PUBMED:22157000	511145	511145	Low Throughput	-	-	figure 4.	-	BIOGRID	Q46948	-	NP_414958	P00957	-	NP_417177	-	-	-	-	-	-	Escherichia coli (K12/MG1655)	Escherichia coli (K12/MG1655)
734725	945066	944761	849455	849163	b0424	b0026	yajL	ileS	ECK0418|JW5057|thiJ	ECK0027|JW0024|ilvS	Affinity Capture-MS	physical	Le HT (2012)	PUBMED:22157000	511145	511145	Low Throughput	-	-	figure 4.	-	BIOGRID	Q46948	-	NP_414958	P00956	-	NP_414567	-	-	-	-	-	-	Escherichia coli (K12/MG1655)	Escherichia coli (K12/MG1655)
734726	945066	947497	849455	851814	b0424	b0642	yajL	leuS	ECK0418|JW5057|thiJ	ECK0635|JW0637	Affinity Capture-MS	physical	Le HT (2012)	PUBMED:22157000	511145	511145	Low Throughput	-	-	figure 4.	-	BIOGRID	Q46948	-	NP_414958	P07813	-	NP_415175	-	-	-	-	-	-	Escherichia coli (K12/MG1655)	Escherichia coli (K12/MG1655)
734727	945066	946222	849455	850582	b0424	b1719	yajL	thrS	ECK0418|JW5057|thiJ	ECK1717|JW1709	Affinity Capture-MS	physical	Le HT (2012)	PUBMED:22157000	511145	511145	Low Throughput	-	-	figure 4.	-	BIOGRID	Q46948	-	NP_414958	P0A8M3	-	NP_416234	-	-	-	-	-	-	Escherichia coli (K12/MG1655)	Escherichia coli (K12/MG1655)
734728	945066	946223	849455	850583	b0424	b1714	yajL	pheS	ECK0418|JW5057|thiJ	ECK1712|JW5277|phe-act	Affinity Capture-MS	physical	Le HT (2012)	PUBMED:22157000	511145	511145	Low Throughput	-	-	figure 4.	-	BIOGRID	Q46948	-	NP_414958	P08312	-	NP_416229	-	-	-	-	-	-	Escherichia coli (K12/MG1655)	Escherichia coli (K12/MG1655)
734729	945066	947838	849455	852150	b0424	b3339	yajL	tufA	ECK0418|JW5057|thiJ	ECK3326|JW3301|kirT|pulT	Affinity Capture-MS	physical	Le HT (2012)	PUBMED:22157000	511145	511145	Low Throughput	-	-	figure 4.	-	BIOGRID	Q46948	-	NP_414958	P0CE47	-	NP_417798	-	-	-	-	-	-	Escherichia coli (K12/MG1655)	Escherichia coli (K12/MG1655)
734730	945066	948482	849455	852776	b0424	b3980	yajL	tufB	ECK0418|JW5057|thiJ	ECK3971|JW3943|kirT|pulT	Affinity Capture-MS	physical	Le HT (2012)	PUBMED:22157000	511145	511145	Low Throughput	-	-	figure 4.	-	BIOGRID	Q46948	-	NP_414958	P0CE48	-	NP_418407	-	-	-	-	-	-	Escherichia coli (K12/MG1655)	Escherichia coli (K12/MG1655)
734731	945066	945829	849455	850196	b0424	b1237	yajL	hns	ECK0418|JW5057|thiJ	B1|ECK1232|H1|JW1225|bglY|cur|drc|drdX|drs|fimG|hnsA|irk|msyA|osmZ|pilG|topS|topX|verA|virR	Affinity Capture-MS	physical	Le HT (2012)	PUBMED:22157000	511145	511145	Low Throughput	-	-	figure 4.	-	BIOGRID	Q46948	-	NP_414958	P0ACF8	-	NP_415753	-	-	-	-	-	-	Escherichia coli (K12/MG1655)	Escherichia coli (K12/MG1655)
734732	945066	945295	849455	849672	b0424	b0683	yajL	fur	ECK0418|JW5057|thiJ	ECK0671|JW0669	Affinity Capture-MS	physical	Le HT (2012)	PUBMED:22157000	511145	511145	Low Throughput	-	-	figure 4.	-	BIOGRID	Q46948	-	NP_414958	P0A9A9	-	NP_415209	-	-	-	-	-	-	Escherichia coli (K12/MG1655)	Escherichia coli (K12/MG1655)
734733	945066	945007	849455	849401	b0424	b0345	yajL	lacI	ECK0418|JW5057|thiJ	ECK0342|JW0336	Affinity Capture-MS	physical	Le HT (2012)	PUBMED:22157000	511145	511145	Low Throughput	-	-	figure 4.	-	BIOGRID	Q46948	-	NP_414958	P03023	-	NP_414879	-	-	-	-	-	-	Escherichia coli (K12/MG1655)	Escherichia coli (K12/MG1655)
734734	945066	947921	849455	852230	b0424	b3418	yajL	malT	ECK0418|JW5057|thiJ	ECK3405|JW3381|malA	Affinity Capture-MS	physical	Le HT (2012)	PUBMED:22157000	511145	511145	Low Throughput	-	-	figure 4.	-	BIOGRID	Q46948	-	NP_414958	P06993	-	NP_417877	-	-	-	-	-	-	Escherichia coli (K12/MG1655)	Escherichia coli (K12/MG1655)
734735	945066	945880	849455	850247	b0424	b1324	yajL	tpx	ECK0418|JW5057|thiJ	ECK1320|JW1317|yzzJ	Affinity Capture-MS	physical	Le HT (2012)	PUBMED:22157000	511145	511145	Low Throughput	-	-	figure 4.	-	BIOGRID	Q46948	-	NP_414958	P0A862	-	NP_415840	-	-	-	-	-	-	Escherichia coli (K12/MG1655)	Escherichia coli (K12/MG1655)
734736	945066	947679	849455	851992	b0424	b1779	yajL	gapA	ECK0418|JW5057|thiJ	ECK1777|JW1768	Affinity Capture-MS	physical	Le HT (2012)	PUBMED:22157000	511145	511145	Low Throughput	-	-	figure 4.	-	BIOGRID	Q46948	-	NP_414958	P0A9B2	-	NP_416293	-	-	-	-	-	-	Escherichia coli (K12/MG1655)	Escherichia coli (K12/MG1655)
734737	945066	945837	849455	850204	b0424	b1241	yajL	adhE	ECK0418|JW5057|thiJ	ECK1235|JW1228|adhC|ana	Affinity Capture-MS	physical	Le HT (2012)	PUBMED:22157000	511145	511145	Low Throughput	-	-	figure 4.	-	BIOGRID	Q46948	-	NP_414958	P0A9Q7	-	NP_415757	-	-	-	-	-	-	Escherichia coli (K12/MG1655)	Escherichia coli (K12/MG1655)
